id;creation_date;image;image_content_type
1;2021-10-12T18:52:52;../fake-data/blob/hipster.png;image/png
2;2021-10-12T18:26:54;../fake-data/blob/hipster.png;image/png
3;2021-10-13T04:55:52;../fake-data/blob/hipster.png;image/png
4;2021-10-13T04:22:59;../fake-data/blob/hipster.png;image/png
5;2021-10-13T02:21:46;../fake-data/blob/hipster.png;image/png
6;2021-10-13T12:19:49;../fake-data/blob/hipster.png;image/png
7;2021-10-12T22:44:02;../fake-data/blob/hipster.png;image/png
8;2021-10-12T15:55:39;../fake-data/blob/hipster.png;image/png
9;2021-10-13T08:05:48;../fake-data/blob/hipster.png;image/png
10;2021-10-12T16:35:50;../fake-data/blob/hipster.png;image/png
