id;creation_date;url_vanswer;accepted;appuser_id;vquestion_id
1;2021-10-12T21:43:51;Vasco;false;1;1
2;2021-10-13T14:53:02;Tomé encriptar Funcionalidad;false;2;2
3;2021-10-13T04:25:12;matrix generate;false;2;3
4;2021-10-13T05:25:10;Relacciones;false;2;4
5;2021-10-12T17:12:58;Violeta Somalia;false;1;5
6;2021-10-12T17:03:55;Vasco;false;2;6
7;2021-10-12T18:56:20;Fiji Datos;false;1;7
8;2021-10-13T02:23:37;Cantabria Baleares;true;2;8
9;2021-10-13T02:45:46;Bebes synthesizing;true;1;9
10;2021-10-13T15:03:19;Implementación;false;1;10
