id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2021-10-12T18:39:46;Aragón Azul;false;1;1
2;2021-10-13T06:47:12;Verde Senior Guapa;false;2;2
3;2021-10-13T05:39:37;1080p programming;false;1;3
4;2021-10-13T01:21:56;COM;false;1;4
5;2021-10-13T03:57:56;Azul Gerente Morado;true;1;5
6;2021-10-12T22:26:26;system Plástico Tanzanian;true;1;6
7;2021-10-12T20:10:04;morph killer;true;2;7
8;2021-10-13T09:02:37;e-business Marroquinería;true;2;8
9;2021-10-12T15:40:11;Datos Humano synthesize;false;1;9
10;2021-10-12T15:22:47;Senior Bloque;true;2;10
