id;creation_date;message_text;is_delivered
1;2021-10-13T05:37:30;Mascotas Sabroso Borders;false
2;2021-10-13T04:45:37;feed International Franc;false
3;2021-10-12T18:20:55;modelo Práctico sensor;false
4;2021-10-12T18:52:23;Canarias;true
5;2021-10-13T07:48:26;Salvador Ronda Fantástico;false
6;2021-10-13T13:42:48;equipos Música Marca;true
7;2021-10-12T19:20:02;Bedfordshire Parque;true
8;2021-10-12T18:40:22;Plástico strategize;true
9;2021-10-12T16:58:15;Pequeño;false
10;2021-10-12T17:28:36;Kenia virtual bypassing;false
